,venue,team1,team2,toss_winner,toss_decision,first_average,second_average
0,7,7,3,7,2,0.9371899030283012,0.3488195603199506
1,5,5,1,1,1,0.757034861182063,0.6533744859994569
2,2,2,6,6,1,0.7016885755159995,0.7124837843700919
3,4,4,7,4,1,0.7028600079314319,0.7113282007980757
4,3,3,8,8,1,0.700765396045594,0.713391799577947
5,6,6,5,5,1,0.7028853604521851,0.7113031492001155
6,8,8,2,8,1,0.702179386223622,0.7120000769400363
7,1,1,4,4,2,0.7173283898242986,0.6967352303078115
8,8,8,6,6,2,0.7038255960088933,0.7103728108554875
9,5,5,4,4,2,0.842522148762896,0.538661701668081
10,7,7,6,6,2,0.7019267189718641,0.7122491707214503
11,1,1,3,3,1,0.7023452803945737,0.7118364328323381
12,4,4,8,8,2,0.7025596109834729,0.7116248962864855
13,5,5,2,2,1,0.7026736398436252,0.7115123019800229
14,7,7,1,1,1,0.7332310228976796,0.6799796078268984
15,3,3,4,3,1,0.7020015154756069,0.7121754504824996
16,2,2,7,7,2,0.725753998329551,0.6879543109165536
17,8,8,5,5,2,0.7028343490605733,0.7113535532916105
18,6,6,3,6,1,0.7917267196561038,0.6108754385163846
19,1,1,2,1,1,0.7029596338114635,0.711229747150422
20,5,5,3,5,1,0.7251005637300948,0.6886429934866822
21,7,7,8,8,2,0.7138945333414656,0.7002532365260236
22,4,4,2,2,2,0.7724771474226835,0.6350425629118993
23,6,6,1,1,1,0.700708014884254,0.7134481606094223
24,7,7,5,5,2,0.7015610998395336,0.7126093061362192
25,1,1,8,8,2,0.7022471119478896,0.7119332790092399
26,4,4,6,4,2,0.7003406701280767,0.713808759938232
27,2,2,1,1,2,0.7033556304069442,0.7108381371134009
28,3,3,7,3,1,0.720833064901856,0.6931087162517846
29,6,6,8,6,2,0.7021097462009691,0.7120687496931815
30,1,1,5,5,2,0.7428880842796881,0.6694156363838948
31,8,8,3,3,1,0.7478117042019222,0.6639108788524383
32,6,6,2,6,2,0.7026173493413279,0.7115678888233831
33,5,5,7,7,1,0.7022134834058589,0.7119664484531625
34,3,3,2,3,1,0.7701022246025616,0.6379204994842115
35,4,4,1,4,2,0.7026173493413279,0.7115678888233831
36,2,2,8,8,2,0.7291872667376421,0.6843142041691718
37,4,4,3,4,2,0.696785684263249,0.7172793808592269
38,2,2,5,2,1,0.7313284648023176,0.6820254222313749
39,6,6,7,7,2,0.8301102429709015,0.5575993046218681
40,8,8,4,8,2,0.7580595646092233,0.6521853237420133
41,3,3,1,3,1,0.7273936525094625,0.6862204268957194
42,7,7,2,2,2,0.7025596109834729,0.7116248962864855
43,3,3,6,6,2,0.7023452803945737,0.7118364328323381
44,4,4,5,4,2,0.7089700304376071,0.7052386092247775
45,1,1,7,7,1,0.7470846746574549,0.6647288837503338
46,5,5,8,5,2,0.7031006064676614,0.711090386086612
47,2,2,4,2,2,0.7031231753960862,0.7110680700333301
48,1,1,6,6,1,0.7239754862803052,0.6898256991916115
49,8,8,7,8,1,0.7028600079314319,0.7113282007980757
50,3,3,5,5,1,0.7030777803619778,0.7111129549946862
51,6,6,4,6,2,0.702280281445106,0.7119005592731212
52,8,8,1,8,1,0.7023452803945737,0.7118364328323381
53,7,7,4,4,2,0.7013814998445,0.712786077077744
54,5,5,6,6,2,0.7750449926882207,0.6319060525971529
55,4,2,6,2,2,0.9098814964398502,0.4148682470813825
56,4,1,5,5,1,0.7008771255327298,0.7132820304094154
57,4,1,6,6,2,0.7028083782532835,0.7113792121344211
58,-1,1,4,1,2,0.7486521330175572,0.6629630334553066
59,-1,7,6,7,1,0.9152142939769896,0.4029674876465849
60,-1,2,5,2,2,0.6941355705842321,0.7198442954206852
61,-1,8,3,3,1,0.7002086668924692,0.7139382485962431
62,-1,7,1,1,1,0.8983843609192008,0.4392101320049426
63,-1,5,3,3,2,0.7654862707908162,0.6434522276212657
64,-1,7,8,8,1,0.7543421120947751,0.6564815137689665
65,-1,1,2,2,1,0.7240472999248232,0.6897503225599632
66,-1,7,5,7,1,0.7029351681296114,0.7112539275157607
67,-1,8,4,8,1,0.7326390704278498,0.6806173612850439
68,-1,7,2,7,1,0.7024085519692114,0.7117739993288008
69,-1,5,6,5,1,0.7781501300443315,0.6280783192500676
70,-1,1,8,8,2,0.7028600079314319,0.7113282007980757
71,-1,3,4,4,1,0.8906052649078087,0.4547771565486683
72,-1,2,6,2,1,0.7022134834058589,0.7119664484531625
73,-1,7,3,3,1,0.7020741827848284,0.7121038139674688
74,-1,5,4,5,1,0.7160001396200408,0.6981001361295398
75,-1,8,2,2,2,0.7023771277714427,0.7118050086811265
76,-1,1,6,6,2,0.792445416107509,0.6099428354282038
77,-1,3,4,4,1,0.7287741048448708,0.6847541924716908
78,-1,7,5,7,1,0.7267370087459909,0.6869158027873065
79,-1,8,6,8,1,0.7021448105364912,0.7120341740651742
80,-1,1,2,2,2,0.7469065604915838,0.6649290111693368
81,-1,5,3,3,1,0.7025301812897969,0.7116539498779761
82,-1,7,4,4,1,0.7024085519692114,0.7117739993288008
83,-1,1,8,1,1,0.8709250755333902,0.4914158247423039
84,-1,5,6,5,2,0.845299356198634,0.5342929892953631
85,-1,2,3,3,1,0.7025596109834729,0.7116248962864855
86,-1,8,4,8,1,0.7544942568741189,0.6563066481028293
87,-1,7,6,6,2,0.7004677164823951,0.7136840884914969
88,-1,1,5,1,1,0.7301457284035279,0.683291457062125
89,-1,2,4,4,1,0.7010891757230163,0.7130736060772559
90,-1,8,5,5,2,0.7029351681296114,0.7112539275157607
91,-1,1,6,6,1,0.7021097462009691,0.7120687496931815
92,-1,7,4,4,1,0.7437620990064324,0.6684444180943886
93,-1,2,3,2,2,0.7014274816167628,0.7127408280944525
94,-1,8,6,8,1,0.8259133196314103,0.5637971163950944
95,-1,7,3,7,2,0.703054692658077,0.7111357810794342
96,-1,5,4,5,1,0.7012389761168877,0.7129262923855025
97,-1,8,2,8,2,0.7318939744313497,0.6814185279188428
98,-1,7,1,1,1,0.7016885755159995,0.7124837843700919
99,-1,4,6,6,1,0.7119664484531625,0.7022134834058589
100,-1,2,5,5,2,0.7012872659320248,0.7128787909887525
101,-1,1,4,4,1,0.7023452803945737,0.7118364328323381
102,-1,8,3,8,2,0.7027285362744408,0.7114580833089058
103,-1,8,5,8,2,0.7097305268520548,0.7044732636901877
104,-1,2,6,2,1,0.7406055035628791,0.6719400926365194
105,-1,1,3,1,1,0.7033754245742967,0.710818550760268
106,-1,7,2,2,1,0.701888492813689,0.7122868408553733
107,-1,3,6,3,2,0.7002086668924692,0.7139382485962431
108,-1,1,5,1,1,0.7828232547561078,0.6222441255753677
109,-1,2,4,2,2,0.7028600079314319,0.7113282007980757
110,-1,7,8,7,1,0.7323357260947723,0.6809437453161917
111,-1,2,8,8,2,0.7025301812897969,0.7116539498779761
112,-1,7,1,7,2,0.7023130012327302,0.7118682801610667
113,-1,7,8,7,2,0.7219882051154242,0.6919053632356148
114,4,8,3,8,2,0.731505583015936,0.6818354508358416
115,4,4,6,4,1,0.7137771511113427,0.7003728853627729
116,5,5,2,2,2,0.702179386223622,0.7120000769400363
117,3,3,7,3,2,0.7019267189718641,0.7122491707214503
118,1,1,8,8,1,0.7665738767063743,0.6421561270838738
119,-1,6,2,2,2,0.7021448105364912,0.7120341740651742
120,7,7,5,5,1,0.7036491080728211,0.7105476287402017
121,3,3,1,1,1,0.8320502943378437,0.5547001962252291
122,2,2,4,2,2,0.8752860577465694,0.4836055387549539
123,7,7,6,7,2,0.6995447848162134,0.7145887586832287
124,2,2,1,2,1,0.7033154053030363,0.7108779365428538
125,-1,8,5,5,2,0.7196189619724785,0.6943691738330934
126,-1,6,3,6,1,0.7813196491417566,0.6241310806753677
127,4,4,7,4,1,0.7024701641224861,0.711713192597782
128,-1,8,2,8,1,0.7279514442265617,0.6856286858412964
129,4,4,3,3,1,0.7025886646132301,0.7115962115954511
130,7,7,1,1,2,0.7844155915708846,0.6202355840327924
131,5,5,6,5,2,0.7689058948998473,0.6393619669547643
132,4,1,4,4,2,0.7032109643466593,0.7109812512455174
133,7,7,2,7,2,0.7404861254609447,0.67207164647814
134,-1,6,8,8,1,0.7023771277714427,0.7118050086811265
135,5,5,3,3,1,0.7854287874349637,0.618952033576466
136,-1,6,1,6,1,0.7416344783687253,0.6708042191986785
137,4,8,4,8,2,0.7950095651284351,0.6065968936240083
138,2,2,3,2,1,0.7903075524379524,0.6127103496429068
139,4,4,5,4,2,0.7028083782532835,0.7113792121344211
140,1,1,7,7,1,0.7027554777966536,0.7114314713496986
141,2,2,6,2,1,0.8401659751053542,0.5423293595918159
142,3,3,8,3,1,0.7551412180466305,0.6555621563261956
143,5,5,7,5,1,0.7032323103308193,0.7109601379168723
144,1,1,6,1,1,0.7407537403152136,0.6717766713789791
145,4,4,8,4,1,0.8391926095263736,0.5438343167880411
146,3,3,5,3,1,0.7035976309449103,0.7105986023970985
147,2,2,7,2,1,0.7808688094430304,0.6246950475544243
148,-1,8,6,6,1,0.7115399211638492,0.7026456721493012
149,1,1,4,1,1,0.7599024951790722,0.6500370741893268
150,6,6,5,5,1,0.7025301812897969,0.7116539498779761
151,3,3,2,3,1,0.7348034446274879,0.6782801027330658
152,7,7,8,8,2,0.7032949675016306,0.710898156339486
153,5,5,4,4,1,0.7025596109834729,0.7116248962864855
154,-1,8,1,1,1,0.7020381095567656,0.7121393773201723
155,7,7,3,7,2,0.7027285362744408,0.7114580833089058
156,2,2,5,2,1,0.7008217572776737,0.713336431514775
157,6,6,4,6,2,0.7852272100011431,0.6192077427437586
158,-1,8,7,7,2,0.7379597285692373,0.6748447517837104
159,4,4,2,4,1,0.7854287874349637,0.618952033576466
160,1,1,3,3,1,0.7020741827848284,0.7121038139674688
161,6,6,7,6,1,0.70172977504731,0.7124432067274217
162,1,1,2,1,1,0.7008771255327298,0.7132820304094154
163,5,5,8,8,2,0.7030777803619778,0.7111129549946862
164,7,7,4,7,2,0.8180291583861419,0.575176751990256
165,3,3,6,6,1,0.7018103226793718,0.7123638613662797
166,5,5,1,1,2,0.7034525554587449,0.7107422192458821
167,2,2,8,8,1,0.7342247693911976,0.6789064648480252
168,3,3,4,4,1,0.7018496983061259,0.7123250669375606
169,4,7,4,4,1,0.7767557487195037,0.6298019584212192
170,4,1,8,1,1,0.8060464456010972,0.5918522852315748
171,4,7,8,8,1,0.6986393383133878,0.7154740211643128
172,4,1,4,1,1,0.7545093988334702,0.6562892404054446
173,1,1,3,1,1,0.711713192597782,0.7024701641224861
174,8,8,6,6,2,0.7020015154756069,0.7121754504824996
175,2,2,4,2,1,0.6997798348164428,0.7143585813751188
176,3,3,8,3,1,0.7267673127020234,0.6868837406634978
177,6,6,2,2,1,0.7024701641224861,0.711713192597782
178,7,7,4,4,2,0.7021097462009691,0.7120687496931815
179,5,5,1,5,2,0.7033754245742967,0.710818550760268
180,8,8,7,7,2,0.7761140001162655,0.6305926250944657
181,6,6,3,3,2,0.702701259061168,0.7114850247994325
182,1,1,7,1,1,0.7485304869851424,0.6631003770574903
183,8,8,5,5,2,0.7028600079314319,0.7113282007980757
184,3,3,6,3,2,0.6985367247883851,0.7155742058807848
185,2,2,8,8,1,0.7413279017533534,0.6711430116465271
186,5,5,6,6,2,0.7980413689309589,0.6026026663356221
187,4,4,1,1,2,0.7244510986267996,0.6893261968751973
188,3,3,7,7,2,0.7030077142592762,0.7111822225646166
189,2,2,5,5,2,0.7525766947068778,0.658504607868518
190,8,8,4,8,2,0.7861606252239777,0.618022225609601
191,2,2,7,7,2,0.7027285362744408,0.7114580833089058
192,2,2,3,2,2,0.7485169353619591,0.6631156742803933
193,6,6,4,6,2,0.6997031252548288,0.7144337173654568
194,3,3,5,3,2,0.7012389761168877,0.7129262923855025
195,1,1,8,1,1,0.7486521330175572,0.6629630334553066
196,4,4,5,5,2,0.759591615652656,0.6504003209025867
197,8,8,3,8,2,0.7498378553650925,0.6616216370868463
198,1,1,6,6,1,0.7023452803945737,0.7118364328323381
199,8,8,2,2,2,0.7031006064676614,0.711090386086612
200,7,7,5,5,2,0.8622568460824651,0.5064712542523218
201,3,3,1,1,1,0.7779411802037216,0.6283371070876212
202,4,4,2,2,2,0.7728018762796586,0.634647350911228
203,6,6,1,6,2,0.8268484280146174,0.562424819055628
204,5,5,4,4,2,0.8811602680635667,0.4728177048145968
205,6,6,7,7,2,0.7023130012327302,0.7118682801610667
206,1,1,2,1,1,0.7439207780445168,0.6682678175654134
207,7,7,3,7,2,0.7002086668924692,0.7139382485962431
208,4,4,8,8,1,0.7335614610130993,0.6796231182915478
209,5,5,2,2,2,0.7693264402994028,0.6388558744006737
210,5,5,7,5,1,0.8859059436124236,0.4638649146811831
211,4,4,6,4,1,0.7018496983061259,0.7123250669375606
212,5,5,8,5,2,0.8620455539363117,0.5068308030680827
213,7,7,1,7,2,0.7016467397821332,0.7125249838097633
214,3,3,4,4,2,0.7031006064676614,0.711090386086612
215,4,7,1,1,2,0.7031006064676614,0.711090386086612
216,4,4,3,4,2,0.7023452803945737,0.7118364328323381
217,1,7,4,4,2,0.7927824110766853,0.609504756903043
218,1,1,7,1,1,0.8121321290062673,0.5834735684122697
219,1,1,4,4,2,0.7008771255327298,0.7132820304094154
220,3,3,2,2,2,0.6999285823596569,0.7142128391425071
221,6,6,5,5,2,0.7662549258907116,0.6425366826479405
222,7,7,2,2,2,0.7531669788906415,0.6578293866260034
223,8,8,1,8,2,0.8504519424509731,0.5260527479078184
224,6,6,3,3,2,0.7556890827898175,0.6549305384178419
225,8,8,4,8,1,0.7020381095567656,0.7121393773201723
226,7,7,3,7,2,0.8011568082689923,0.5984544832852713
227,2,2,1,2,2,0.700765396045594,0.713391799577947
228,4,4,6,6,2,0.7568230077691597,0.6536198703460924
229,1,1,7,7,1,0.7036825952557098,0.7105144651125613
230,3,3,6,6,1,0.7017703527782003,0.7124032369112033
231,3,3,5,3,2,0.7123638613662797,0.7018103226793718
232,7,7,6,6,1,0.8196246451198379,0.5729008999051928
233,4,4,2,2,2,0.6995447848162134,0.7145887586832287
234,6,6,8,8,1,0.7035265622366209,0.7106689638836932
235,5,5,3,5,1,0.7014727307159014,0.7126962944073558
236,2,2,8,8,1,0.7026456721493012,0.7115399211638492
237,5,5,7,7,2,0.7028083782532835,0.7113792121344211
238,1,1,6,6,1,0.7023130012327302,0.7118682801610667
239,4,4,5,4,1,0.7028083782532835,0.7113792121344211
240,-1,8,3,3,2,0.7015610998395336,0.7126093061362192
241,6,6,7,6,2,0.7969697695451596,0.604019193760542
242,5,5,4,5,1,0.7029351681296114,0.7112539275157607
243,2,2,4,4,2,0.7724659705181703,0.635056158454842
244,1,1,5,5,1,0.7230418070259955,0.6908042742286581
245,3,3,7,3,1,0.7984924712737632,0.6020047950964498
246,2,2,6,2,1,0.7094213510176645,0.7047846101613399
247,4,4,8,4,2,0.7001407149017564,0.7140048874740684
248,1,1,3,1,1,0.7020741827848284,0.7121038139674688
249,6,6,2,6,1,0.7021448105364912,0.7120341740651742
250,7,7,5,5,2,0.7026736398436252,0.7115123019800229
251,1,1,8,1,1,0.7293959076178516,0.6840918139769913
252,5,5,6,6,1,0.7967655868753245,0.6042885068998248
253,4,4,1,4,2,0.703054692658077,0.7111357810794342
254,7,7,8,7,2,0.7032323103308193,0.7109601379168723
255,2,2,3,2,1,0.7025301812897969,0.7116539498779761
256,8,8,5,8,2,0.76051093452997,0.6493251253881615
257,4,4,7,7,2,0.7021448105364912,0.7120341740651742
258,8,8,2,8,1,0.7033556304069442,0.7108381371134009
259,6,6,1,1,2,0.7015610998395336,0.7126093061362192
260,3,3,4,4,1,0.7610150910932025,0.6487341760138776
261,1,1,2,1,2,0.7009849862549792,0.7131760294941962
262,5,5,8,8,1,0.7034143927642639,0.7107799885000153
263,7,7,4,4,2,0.7030077142592762,0.7111822225646166
264,3,3,1,1,2,0.7026736398436252,0.7115123019800229
265,2,2,5,5,1,0.7019643891790419,0.7122120444955242
266,4,4,3,4,2,0.7911615851791004,0.61160718286895
267,5,5,1,5,2,0.7012872659320248,0.7128787909887525
268,2,2,7,2,2,0.7422680412371134,0.6701030927835051
